Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2008-01-02,25.387435913085938,25.92084442220394,25.22885366726483,25.798305595688962,63004200
2008-01-03,25.49556541442871,25.697398172895436,25.127946077121432,25.38744337391605,49599600
2008-01-04,24.781946182250977,25.373022030862348,24.572906424888455,25.36581224627625,72090800
2008-01-07,24.947734832763672,25.084690489340783,24.688237588952653,24.90448437555281,80164300
2008-01-08,24.111576080322266,25.019813589972372,24.07553541123866,25.019813589972372,79148300
2008-01-09,24.825199127197266,24.897283239627107,24.039500174942237,24.04670996104909,74305500
2008-01-10,24.745906829833984,24.868445677069282,24.349451148243794,24.76032090032154,72446000
2008-01-11,24.44316291809082,24.681036364154952,24.306207229274573,24.608952251835035,55187900
2008-01-14,24.78915786743164,24.91890651705015,24.565703998432387,24.83961537009132,52792200
2008-01-15,24.508041381835938,24.781955555439172,24.508041381835938,24.529665244318654,61606200
2008-01-16,23.953004837036133,24.25575264577349,23.434010164759552,24.089960542341096,120778500
2008-01-17,23.866500854492188,24.363868795004997,23.76558585929197,24.176455625308506,94247800
2008-01-18,23.794410705566406,24.508028025603426,23.76557982121092,23.902535458511213,117062000
2008-01-22,23.037553787231445,23.448423593376035,22.70597512783891,22.73480877206287,108521400
2008-01-23,23.01592445373535,23.102422616102768,22.374391145866934,22.691552907698792,137597400
2008-01-24,23.96742057800293,24.046711732653545,23.152887920766528,23.318677266977843,155640400
2008-01-25,23.74395751953125,25.228856946877848,23.693500025615666,25.15677559834907,196992300
2008-01-28,23.58538246154785,23.859293837520838,23.369132875626,23.801629297741997,81019000
2008-01-29,23.498882293701172,23.707922100388657,23.318676132707363,23.679088454694977,68023000
2008-01-30,23.210542678833008,23.643036152772634,23.102417935484876,23.47003986308736,106432600
2008-01-31,23.498882293701172,23.599800053629053,22.86455721194309,23.001514279260274,103642200
2008-02-01,21.9491024017334,23.967410068044426,21.804936979198313,22.38880432822502,291138900
2008-02-04,21.761695861816406,22.14373203399803,21.70402994668349,21.977942699848878,119998600
2008-02-05,20.95437240600586,21.581490457956857,20.824623748715037,21.55986522345375,137534100
2008-02-06,20.557910919189453,21.15619507839739,20.39212164763067,21.10573759356327,138315600
2008-02-07,20.26959228515625,20.745336503365653,20.111009962510398,20.428173232938025,164964900
2008-02-08,20.586746215820312,20.961575265409646,20.356082608338735,20.39212465629745,124872000
2008-02-11,20.33446502685547,20.62279601950518,20.118218157232253,20.5579216836454,156814100
2008-02-12,20.428165435791016,20.62999678082039,20.262376138908078,20.493039747591045,84365900
2008-02-13,20.87507438659668,20.93994869389887,20.565121043208215,20.629995350510406,88986200
2008-02-14,20.543498992919922,20.932744896930863,20.514665351942664,20.817411707885505,69113500
2008-02-15,20.485830307006836,20.64441118627986,20.36329009920293,20.40653917993858,68166100
2008-02-19,20.384525299072266,20.869354318192062,20.31216249110401,20.84040864292246,68261200
2008-02-20,20.420705795288086,20.449651470249158,20.203618753903033,20.370052244311957,93056200
2008-02-21,20.3338680267334,20.956184748890994,20.232559562033618,20.710153455148557,98776500
2008-02-22,20.02994155883789,20.543714680659587,19.68260186688475,20.435171199449886,125705400
2008-02-25,20.14573097229004,20.43518085231026,19.88522539016889,20.00824176170322,109974300
2008-02-26,20.536481857299805,20.883822990223674,20.022708645596218,20.07336218700863,108923500
2008-02-27,20.449649810791016,20.753572472190672,20.33386988075359,20.398996263925348,75199500
2008-02-28,20.210851669311523,20.456884343010554,20.116779622200152,20.275978046479235,83002900
2008-02-29,19.682601928710938,20.13848510330578,19.552349198768052,20.03717803788587,117411400
2008-03-03,19.53064727783203,19.820097130630547,19.44381301209536,19.711553608356823,76544300
2008-03-04,19.96481704711914,19.99376133403243,19.508932451437815,19.55235095211581,86925600
2008-03-05,20.348339080810547,20.558189648925964,20.04441647372187,20.08059717781596,106489800
2008-03-06,19.950345993041992,20.384521377110836,19.899692451271637,20.304922165639994,91127700
2008-03-07,20.167428970336914,20.312153139436994,19.769434399850162,19.783907230821708,77597600
2008-03-10,20.297697067260742,20.449659157519235,20.08060994427006,20.138499935747994,72175100
2008-03-11,21.18775177001953,21.231168906662592,20.536487819344202,20.550960658293853,98740700
2008-03-12,20.717391967773438,21.339710174530264,20.65226695982064,21.29629304249315,75993800
2008-03-13,20.71015739440918,20.977897991558024,20.377289027433324,20.65226742365761,84552200
2008-03-14,20.232563018798828,20.992370422936673,20.00100314027498,20.782518420395842,105214900
2008-03-17,20.478595733642578,20.789754837968843,19.74049896594031,19.754970423192937,84490100
2008-03-18,21.289051055908203,21.332468176590123,20.74633221666534,20.74633221666534,83695300
2008-03-19,20.71015739440918,21.412073462297684,20.71015739440918,21.260111426446205,61442100
2008-03-20,21.115385055541992,21.144329347889496,20.68844604682265,20.79698955848565,60170200
2008-03-24,21.108152389526367,21.274585895674733,21.028553156061548,21.22393233990835,48294700
2008-03-25,21.086444854736328,21.252879754694,20.941720595032866,21.22393407462971,49149000
2008-03-26,20.666738510131836,21.035787584624195,20.536485733227973,21.006843289870975,45868100
2008-03-27,20.297697067260742,20.61609271049251,20.261516340164384,20.608856289031984,47894400
2008-03-28,20.19638442993164,20.57266996221943,20.138494454210896,20.427944332814622,49244000
2008-03-31,20.536481857299805,20.688443861742527,20.145724980542997,20.17466926983345,46780600
2008-04-01,21.346946716308594,21.375892391304046,20.717392087215064,20.862117701780814,65796200
2008-04-02,21.100914001464844,21.404836687914162,20.985134061884697,21.397600269164684,49499400
2008-04-03,20.98513412475586,21.2166940046099,20.840408509744204,20.98513412475586,38961400
2008-04-04,21.100914001464844,21.173276808753872,20.796991315015525,21.07920474521641,43860800
2008-04-07,21.100914001464844,21.41207310666364,21.006843318133132,21.383127431665727,44428600
2008-04-08,20.804231643676758,20.985138005795687,20.652270961995743,20.941720865344827,44733500
2008-04-09,20.905536651611328,21.01408156207549,20.652268874410602,20.78252028259703,45839300
2008-04-10,21.06473731994629,21.274587983025878,20.84041243639147,20.862121696795295,65591600
2008-04-11,20.464122772216797,20.992368878768016,20.41346784483578,20.89106178441727,54373700
2008-04-14,20.30492401123047,20.48583032268528,20.21085333656444,20.435176776310833,43418100
2008-04-15,20.44240951538086,20.608842960716974,20.28321248682528,20.348338857644695,34310000
2008-04-16,20.94895362854004,21.021315056591167,20.536486035537454,20.673975233204985,54107400
2008-04-17,21.14432716369629,21.23116279218001,20.912767328013683,21.071965750199595,48743300
2008-04-18,21.708757400512695,21.781120201222194,21.42654399597183,21.715993818604208,73658900
2008-04-21,22.012680053710938,22.142932818913675,21.795593031843456,21.846246578265493,54411700
2008-04-22,21.88966178894043,22.215293673420092,21.687046240796917,22.1718751686858,67387500
2008-04-23,22.75802230834961,22.765257348698697,21.925851887182912,22.034396815304547,98351500
2008-04-24,23.01128578186035,23.228372836702004,22.548165995421712,22.888269416061856,115416700
2008-04-25,21.58574104309082,21.99097079458321,21.419307567682146,21.744938100411424,145194900
2008-04-28,20.977901458740234,21.592983362263677,20.854885078035544,21.564037682000926,97473000
2008-04-29,20.724632263183594,20.912775044145633,20.587144422646947,20.840412223743925,84428900
